time_sec,source,valid,manual_enabled,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_shoulder_loss,left_elbow_loss,left_elbow_error,left_wrist_error,right_shoulder_loss,right_elbow_loss,right_elbow_error,right_wrist_error,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778075885.182784,sequential_ik_elbow_then_wrist,0,0,-0.058026,0.102466,-0.275923,-0.271149,0.091394,-0.486770,-0.016094,-0.104415,-0.280782,-0.142906,-0.256437,-0.506189,0.017581,0.068406,0.096704,0.257090,0.016785,0.017324,0.092598,0.130890,0.000000,0.000000,0.000000,0.047260,-0.212527,0.753600,0.315369,-0.013066,-0.217080,-0.753600,0.233240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.211402,sequential_ik_elbow_then_wrist,0,0,-0.063854,0.125548,-0.264878,-0.251729,0.093312,-0.496533,-0.020652,-0.120618,-0.273906,-0.178824,-0.239629,-0.499335,0.001184,0.050754,0.029220,0.224870,0.000766,0.027586,0.019806,0.164347,0.000000,0.000000,0.000000,0.104535,-0.412035,1.326336,0.370246,-0.030637,-0.427846,-1.326336,0.200913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.242316,sequential_ik_elbow_then_wrist,0,0,-0.076489,0.108944,-0.268850,-0.226929,0.076088,-0.526316,-0.011829,-0.123249,-0.273258,-0.165431,-0.243651,-0.501095,0.001127,0.035674,0.031788,0.188536,0.000028,0.022172,0.003550,0.148318,0.000000,0.000000,0.000000,0.169237,-0.578676,1.761615,0.384757,-0.044539,-0.597301,-1.761615,0.144683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.262689,sequential_ik_elbow_then_wrist,1,0,-0.073958,0.106285,-0.270617,-0.213816,0.072123,-0.533815,0.000965,-0.115906,-0.276703,-0.133888,-0.234120,-0.517203,0.000550,0.028257,0.022620,0.167980,0.000100,0.014670,0.009245,0.121085,0.000000,0.000000,0.000000,0.232486,-0.710037,2.092428,0.380668,-0.050119,-0.733752,-2.092428,0.095108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.293197,sequential_ik_elbow_then_wrist,1,0,-0.082177,0.108859,-0.267202,-0.216320,0.057684,-0.530616,-0.008242,-0.107629,-0.279907,-0.157601,-0.188474,-0.527204,0.000495,0.028300,0.021464,0.168221,0.000015,0.022208,0.002642,0.148861,0.000000,0.000000,0.000000,0.294117,-0.806008,2.343845,0.380941,-0.054752,-0.844282,-2.343845,0.074088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.331270,sequential_ik_elbow_then_wrist,0,0,-0.067439,0.107616,-0.271792,-0.208346,0.069047,-0.533818,-0.024131,-0.098277,-0.282417,-0.203336,-0.172275,-0.511349,0.000055,0.023435,0.006938,0.153009,0.000229,0.037333,0.014594,0.193207,0.000000,0.000000,0.000000,0.345136,-0.883465,2.534922,0.369468,-0.065132,-0.934965,-2.534922,0.053060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.364554,sequential_ik_elbow_then_wrist,0,0,-0.069821,0.108205,-0.270955,-0.253908,0.048022,-0.500062,-0.035400,-0.089202,-0.284236,-0.264089,-0.167220,-0.462041,0.000044,0.043062,0.006430,0.207466,0.000542,0.065840,0.022770,0.256239,0.000000,0.000000,0.000000,0.387847,-0.942143,2.680141,0.350104,-0.082935,-1.009922,-2.680141,0.004764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.396169,sequential_ik_elbow_then_wrist,0,0,-0.099872,0.087513,-0.269011,-0.343358,0.018074,-0.429924,-0.057651,-0.088212,-0.280883,-0.305092,-0.151724,-0.438170,0.001116,0.089996,0.032378,0.299378,0.001514,0.083649,0.038288,0.289175,0.000000,0.000000,0.000000,0.440062,-0.986581,2.790507,0.289268,-0.112984,-1.065055,-2.790507,-0.044379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.430578,sequential_ik_elbow_then_wrist,0,0,-0.094773,0.091606,-0.269493,-0.327393,0.032504,-0.449479,-0.059436,-0.095102,-0.278250,-0.289772,-0.144240,-0.464074,0.000399,0.067151,0.019350,0.258980,0.001077,0.065309,0.032113,0.255554,0.000000,0.000000,0.000000,0.491704,-1.019226,2.874385,0.221507,-0.150664,-1.100431,-2.874385,-0.079967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.465427,sequential_ik_elbow_then_wrist,0,0,-0.084404,0.087694,-0.274200,-0.303242,0.050201,-0.475954,-0.057057,-0.095897,-0.278475,-0.273365,-0.135211,-0.482596,0.000125,0.046740,0.010601,0.216142,0.000608,0.052270,0.024151,0.228564,0.000000,0.000000,0.000000,0.537100,-1.049970,2.938133,0.158540,-0.191082,-1.124857,-2.938133,-0.094182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.499175,sequential_ik_elbow_then_wrist,0,0,-0.076267,0.095533,-0.273965,-0.283895,0.058274,-0.487278,-0.036961,-0.108184,-0.277363,-0.245023,-0.123291,-0.492960,0.000001,0.038028,0.000722,0.195005,0.000006,0.042694,0.001796,0.206326,0.000000,0.000000,0.000000,0.571212,-1.074037,2.986581,0.113593,-0.222278,-1.139283,-2.986581,-0.078277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.529122,sequential_ik_elbow_then_wrist,0,0,-0.056230,0.105651,-0.275093,-0.265655,0.058440,-0.484645,-0.033696,-0.112984,-0.275861,-0.251609,-0.083019,-0.479861,0.000334,0.037379,0.017747,0.193309,0.000012,0.054863,0.003165,0.233742,0.000000,0.000000,0.000000,0.587171,-1.095103,3.023402,0.087226,-0.244424,-1.146927,-3.023402,-0.029977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.563073,sequential_ik_elbow_then_wrist,0,0,-0.026104,0.110248,-0.277784,-0.205090,0.067822,-0.514774,-0.017708,-0.124417,-0.272409,-0.237944,-0.124344,-0.476114,0.001404,0.022564,0.036491,0.149903,0.000306,0.045971,0.016886,0.214409,0.000000,0.000000,0.000000,0.580466,-1.119122,3.051385,0.090362,-0.251756,-1.147473,-3.051385,0.007063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.600282,sequential_ik_elbow_then_wrist,1,0,-0.003855,0.135072,-0.267844,-0.161441,0.111517,-0.522033,0.024606,-0.150206,-0.258520,-0.172185,-0.198419,-0.479764,0.003108,0.012262,0.054273,0.110399,0.002445,0.024826,0.047388,0.157562,0.000000,0.000000,0.000000,0.546189,-1.128090,3.072653,0.113339,-0.227073,-1.132650,-3.072653,0.034369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.630728,sequential_ik_elbow_then_wrist,0,0,-0.029919,0.130168,-0.268628,-0.221896,0.090836,-0.495780,-0.064208,-0.171233,-0.237817,-0.347834,-0.192049,-0.333329,0.000494,0.034725,0.021363,0.186242,0.000910,0.117336,0.026105,0.342160,0.000000,0.000000,0.000000,0.507423,-1.127350,3.088816,0.145753,-0.228158,-1.090993,-3.088816,0.016233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.665720,sequential_ik_elbow_then_wrist,0,0,-0.035676,0.131276,-0.267383,-0.242308,0.050405,-0.469282,-0.075994,-0.165458,-0.238430,-0.320774,-0.210288,-0.405979,0.000158,0.054603,0.012026,0.233213,0.000525,0.066639,0.021157,0.258126,0.000000,0.000000,0.000000,0.470354,-1.122550,3.101100,0.205532,-0.249075,-1.052762,-3.101100,0.009969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075885.699305,sequential_ik_elbow_then_wrist,0,0,-0.030117,0.142677,-0.262176,-0.248181,0.073083,-0.456094,-0.113513,-0.120225,-0.250321,-0.391930,-0.127383,-0.361824,0.000259,0.057608,0.015205,0.239960,0.002376,0.101090,0.045474,0.317522,0.000000,0.000000,0.000000,0.431952,-1.111272,3.110436,0.263604,-0.304426,-1.038493,-3.110436,-0.034193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
