time_sec,source,valid,manual_enabled,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_shoulder_loss,left_elbow_loss,left_elbow_error,left_wrist_error,right_shoulder_loss,right_elbow_loss,right_elbow_error,right_wrist_error,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778245754.336601,sequential_ik_elbow_then_wrist,0,0,-0.189251,0.121049,-0.198824,-0.426777,0.186983,-0.027845,-0.166472,-0.217752,-0.121948,-0.399719,-0.295902,0.049773,0.017116,0.082520,0.099277,0.278822,0.006548,0.064474,0.056820,0.247567,0.000000,0.000000,0.000000,0.148767,-0.140303,0.000000,0.365896,-0.113657,-0.078743,0.000000,0.335437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.373346,sequential_ik_elbow_then_wrist,1,0,-0.187479,0.138083,-0.189169,-0.376546,0.151042,0.043393,-0.161562,-0.238851,-0.082754,-0.353935,-0.291869,0.141258,0.001303,0.030334,0.029453,0.164296,0.000187,0.024289,0.009583,0.151047,0.000000,0.000000,0.000000,0.307951,-0.266405,0.000000,0.630699,-0.221657,-0.129673,0.000000,0.530511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.407478,sequential_ik_elbow_then_wrist,1,0,-0.188328,0.163918,-0.166323,-0.332859,0.141186,0.095581,-0.179257,-0.235883,-0.047182,-0.342723,-0.283856,0.199754,0.000087,0.015475,0.006605,0.121333,0.000270,0.012375,0.011040,0.110855,0.000000,0.000000,0.000000,0.435455,-0.347819,0.000000,0.897842,-0.319440,-0.143800,0.000000,0.701032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.437696,sequential_ik_elbow_then_wrist,1,0,-0.183884,0.192256,-0.138652,-0.305479,0.143033,0.131148,-0.176448,-0.242560,0.005553,-0.315645,-0.284379,0.267994,0.000236,0.013543,0.010800,0.115896,0.000458,0.007750,0.014249,0.087983,0.000000,0.000000,0.000000,0.519938,-0.386597,0.000000,1.126147,-0.393722,-0.116246,0.000000,0.823639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.472282,sequential_ik_elbow_then_wrist,1,0,-0.188036,0.198448,-0.123534,-0.310176,0.154066,0.146858,-0.177214,-0.241018,0.022483,-0.317723,-0.262900,0.286639,0.000087,0.013913,0.006295,0.117926,0.000116,0.010281,0.007152,0.101331,0.000000,0.000000,0.000000,0.579243,-0.400349,0.000000,1.293811,-0.451111,-0.076059,0.000000,0.908302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.506428,sequential_ik_elbow_then_wrist,1,0,-0.190414,0.211553,-0.094804,-0.328832,0.173054,0.168556,-0.169324,-0.237767,0.069256,-0.293368,-0.253876,0.341934,0.000173,0.016384,0.008814,0.127502,0.000355,0.008254,0.012540,0.090646,0.000000,0.000000,0.000000,0.618323,-0.388166,0.000000,1.394160,-0.492174,-0.011897,0.000000,0.957894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.542924,sequential_ik_elbow_then_wrist,1,0,-0.177089,0.236729,-0.050983,-0.312221,0.186993,0.212201,-0.102908,-0.263231,0.100595,-0.187845,-0.279133,0.387880,0.000451,0.017366,0.014297,0.131576,0.000919,0.002686,0.021007,0.051821,0.000000,0.000000,0.000000,0.629922,-0.345882,0.000000,1.452832,-0.479105,0.065040,0.000000,0.993974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.576749,sequential_ik_elbow_then_wrist,1,0,-0.164948,0.248827,-0.029618,-0.300454,0.188521,0.231153,-0.113270,-0.259402,0.099402,-0.222535,-0.246782,0.378511,0.000208,0.020550,0.009640,0.143308,0.000016,0.010910,0.002784,0.104443,0.000000,0.000000,0.000000,0.623803,-0.292838,0.000000,1.488939,-0.464579,0.128893,0.000000,1.024540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.610200,sequential_ik_elbow_then_wrist,1,0,-0.160245,0.253549,0.005870,-0.296596,0.190918,0.265650,-0.123348,-0.255210,0.098249,-0.240901,-0.219325,0.371916,0.000240,0.022206,0.010319,0.148839,0.000011,0.016056,0.002381,0.126654,0.000000,0.000000,0.000000,0.611606,-0.225805,0.000000,1.498977,-0.459121,0.177901,0.000000,1.057030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.642210,sequential_ik_elbow_then_wrist,1,0,-0.161629,0.252411,0.012827,-0.287376,0.174873,0.273931,-0.138916,-0.248637,0.094244,-0.264686,-0.196675,0.361605,0.000034,0.022975,0.003872,0.151573,0.000052,0.020846,0.005151,0.144358,0.000000,0.000000,0.000000,0.601702,-0.164439,0.000000,1.506740,-0.466948,0.212671,0.000000,1.088144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.671015,sequential_ik_elbow_then_wrist,1,0,-0.158066,0.254804,0.009496,-0.279943,0.175910,0.272026,-0.145801,-0.246564,0.089153,-0.276276,-0.189412,0.353179,0.000002,0.022170,0.001044,0.148891,0.000024,0.022306,0.003459,0.149347,0.000000,0.000000,0.000000,0.591382,-0.117473,0.000000,1.515628,-0.480415,0.235212,0.000000,1.114674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.709381,sequential_ik_elbow_then_wrist,1,0,-0.159850,0.252707,0.024228,-0.287450,0.171464,0.283299,-0.149855,-0.244397,0.088393,-0.292602,-0.192000,0.347001,0.000027,0.024418,0.003424,0.156236,0.000009,0.024525,0.002062,0.156577,0.000000,0.000000,0.000000,0.584520,-0.072600,0.000000,1.515503,-0.495454,0.250958,0.000000,1.127688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.739831,sequential_ik_elbow_then_wrist,1,0,-0.160938,0.252665,0.016105,-0.292698,0.168942,0.272288,-0.150229,-0.246025,0.083085,-0.301000,-0.205169,0.339208,0.000003,0.026480,0.001125,0.162726,0.000005,0.024372,0.001437,0.156064,0.000000,0.000000,0.000000,0.580112,-0.041419,0.000000,1.515073,-0.507800,0.259185,0.000000,1.128148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.774394,sequential_ik_elbow_then_wrist,1,0,-0.166617,0.247464,0.031630,-0.305928,0.162392,0.283335,-0.168573,-0.231704,0.088861,-0.330823,-0.189158,0.337587,0.000032,0.029264,0.003785,0.171010,0.000076,0.028736,0.006139,0.169414,0.000000,0.000000,0.000000,0.581635,-0.008779,0.000000,1.504212,-0.531812,0.268340,0.000000,1.114226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.804543,sequential_ik_elbow_then_wrist,1,0,-0.167379,0.245750,0.039887,-0.301707,0.155178,0.292380,-0.164482,-0.234058,0.090347,-0.326887,-0.186829,0.338124,0.000017,0.028525,0.002778,0.168885,0.000001,0.027843,0.000684,0.166856,0.000000,0.000000,0.000000,0.584902,0.023203,0.000000,1.491886,-0.550900,0.276884,0.000000,1.100384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.838298,sequential_ik_elbow_then_wrist,1,0,-0.163839,0.245065,0.055676,-0.300243,0.146846,0.304165,-0.160236,-0.231149,0.104377,-0.322560,-0.182526,0.351939,0.000042,0.030322,0.004290,0.174119,0.000028,0.027743,0.003551,0.166547,0.000000,0.000000,0.000000,0.586299,0.059019,0.000000,1.477448,-0.564494,0.292894,0.000000,1.084306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.873274,sequential_ik_elbow_then_wrist,1,0,-0.164589,0.240769,0.070290,-0.293864,0.132725,0.318513,-0.155543,-0.232165,0.109114,-0.314065,-0.174080,0.357100,0.000045,0.030523,0.004444,0.174705,0.000012,0.028624,0.002365,0.169184,0.000000,0.000000,0.000000,0.588977,0.098096,0.000000,1.464196,-0.571813,0.310368,0.000000,1.074300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.903337,sequential_ik_elbow_then_wrist,1,0,-0.162031,0.238269,0.083510,-0.281177,0.128040,0.335808,-0.153321,-0.229418,0.117730,-0.303466,-0.167997,0.370087,0.000039,0.027567,0.004137,0.166025,0.000015,0.026985,0.002619,0.164271,0.000000,0.000000,0.000000,0.590966,0.138946,0.000000,1.450377,-0.576364,0.330603,0.000000,1.068439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.937851,sequential_ik_elbow_then_wrist,1,0,-0.161003,0.238003,0.086212,-0.268788,0.126904,0.343193,-0.142200,-0.232730,0.124965,-0.268946,-0.170355,0.389624,0.000006,0.024473,0.001602,0.156438,0.000033,0.019923,0.004094,0.141104,0.000000,0.000000,0.000000,0.592030,0.174282,0.000000,1.440068,-0.572595,0.352467,0.000000,1.072572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245754.971547,sequential_ik_elbow_then_wrist,1,0,-0.161401,0.236621,0.089221,-0.266377,0.122228,0.345919,-0.140451,-0.233031,0.126373,-0.267902,-0.171065,0.390790,0.000003,0.024503,0.001109,0.156533,0.000006,0.020683,0.001702,0.143816,0.000000,0.000000,0.000000,0.593412,0.204060,0.000000,1.432761,-0.566627,0.371514,0.000000,1.076421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245755.002570,sequential_ik_elbow_then_wrist,1,0,-0.161756,0.232672,0.098483,-0.258771,0.121542,0.359708,-0.137168,-0.232737,0.130454,-0.263903,-0.171481,0.395380,0.000015,0.021809,0.002583,0.147666,0.000006,0.020464,0.001731,0.143050,0.000000,0.000000,0.000000,0.596181,0.233377,0.000000,1.422704,-0.559528,0.389331,0.000000,1.078037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245755.038369,sequential_ik_elbow_then_wrist,1,0,-0.160321,0.231638,0.103155,-0.252901,0.121926,0.366579,-0.134493,-0.232969,0.132805,-0.261758,-0.172915,0.397752,0.000007,0.020254,0.001703,0.142306,0.000004,0.020509,0.001397,0.143208,0.000000,0.000000,0.000000,0.598367,0.260248,0.000000,1.411059,-0.551864,0.405249,0.000000,1.077075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245755.069336,sequential_ik_elbow_then_wrist,1,0,-0.158068,0.230973,0.108008,-0.246579,0.122021,0.373140,-0.136419,-0.230978,0.134310,-0.259959,-0.174802,0.401859,0.000006,0.018946,0.001623,0.137638,0.000001,0.019344,0.000755,0.139077,0.000000,0.000000,0.000000,0.599131,0.284919,0.000000,1.399287,-0.547028,0.418927,0.000000,1.073236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778245755.104184,sequential_ik_elbow_then_wrist,1,0,-0.154814,0.231560,0.111412,-0.239475,0.123347,0.378100,-0.131103,-0.232767,0.136498,-0.245364,-0.178069,0.408440,0.000005,0.017659,0.001521,0.132886,0.000005,0.016327,0.001673,0.127777,0.000000,0.000000,0.000000,0.597584,0.306899,0.000000,1.388763,-0.540217,0.431199,0.000000,1.071628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
