time_sec,source,valid,manual_enabled,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_shoulder_loss,left_elbow_loss,left_elbow_error,left_wrist_error,right_shoulder_loss,right_elbow_loss,right_elbow_error,right_wrist_error,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778768206.707356,sequential_ik_elbow_then_wrist,0,0,-0.085692,0.145289,-0.248089,-0.337292,0.174004,-0.408940,-0.084606,-0.166031,-0.235108,-0.274217,-0.338788,-0.390679,0.013383,0.087362,0.083899,0.294200,0.011253,0.032624,0.076031,0.180617,0.000000,0.000000,0.000000,0.066021,-0.179392,-0.753600,0.268243,-0.063361,-0.165856,0.753600,0.196927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778768206.746861,sequential_ik_elbow_then_wrist,0,0,-0.112750,0.120741,-0.250418,-0.349904,0.188758,-0.421097,-0.136504,-0.166427,-0.208970,-0.350946,-0.313568,-0.358518,0.003185,0.059709,0.048911,0.241142,0.002295,0.027740,0.041276,0.164347,0.000000,0.000000,0.000000,0.162744,-0.364705,-1.326336,0.225317,-0.167085,-0.309683,1.326336,0.129729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778768206.780920,sequential_ik_elbow_then_wrist,1,0,-0.108645,0.162977,-0.227233,-0.202121,0.307502,-0.472946,-0.123774,-0.137878,-0.235944,-0.325932,-0.294651,-0.392642,0.000278,0.000461,0.014116,0.021336,0.000878,0.010894,0.025119,0.103718,0.000000,0.000000,0.000000,0.249386,-0.488809,-1.761615,0.186735,-0.272328,-0.445970,1.761615,0.050594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778768206.819587,sequential_ik_elbow_then_wrist,1,0,-0.083242,0.130804,-0.256829,-0.216232,0.241381,-0.501954,-0.128170,-0.140409,-0.232073,-0.321596,-0.307648,-0.388972,0.000248,0.003831,0.010872,0.061810,0.000229,0.005285,0.013784,0.072700,0.000000,0.000000,0.000000,0.319030,-0.610155,-2.092428,0.149803,-0.367129,-0.551212,2.092428,-0.009549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778768206.856320,sequential_ik_elbow_then_wrist,1,0,-0.082019,0.126295,-0.259465,-0.067939,0.282101,-0.515446,-0.150844,-0.122476,-0.228573,-0.363060,-0.267897,-0.382902,0.000042,0.008364,0.005038,0.091339,0.000634,0.007007,0.022936,0.083706,0.000000,0.000000,0.000000,0.374869,-0.711757,-2.343845,0.132834,-0.464022,-0.628869,2.343845,-0.055257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778768206.897432,sequential_ik_elbow_then_wrist,1,0,-0.049745,0.131096,-0.265216,-0.040262,0.303119,-0.510813,-0.101571,-0.121479,-0.254806,-0.259278,-0.273759,-0.459597,0.000409,0.012184,0.018961,0.110056,0.000272,0.000042,0.012090,0.006486,0.000000,0.000000,0.000000,0.403912,-0.799271,-2.534922,0.099535,-0.530907,-0.713908,2.534922,-0.089995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778768206.931079,sequential_ik_elbow_then_wrist,1,0,-0.026727,0.153569,-0.256325,-0.007888,0.351011,-0.481406,-0.090111,-0.125128,-0.257338,-0.250241,-0.282329,-0.456452,0.001287,0.016546,0.034210,0.128147,0.000186,0.000703,0.012422,0.026505,0.000000,0.000000,0.000000,0.401031,-0.858851,-2.680141,0.047477,-0.571949,-0.787710,2.680141,-0.116396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778768206.973933,sequential_ik_elbow_then_wrist,1,0,-0.012766,0.167148,-0.248795,0.016871,0.373410,-0.464613,-0.067058,-0.127458,-0.263168,-0.197788,-0.297159,-0.473196,0.001311,0.014334,0.034121,0.119647,0.000542,0.000837,0.021907,0.028925,0.000000,0.000000,0.000000,0.371642,-0.893763,-2.790507,-0.002602,-0.587111,-0.853945,2.790507,-0.136461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778768207.017697,sequential_ik_elbow_then_wrist,1,0,-0.053695,0.143445,-0.257954,-0.141482,0.293739,-0.502301,-0.068899,-0.146854,-0.252362,-0.239626,-0.307695,-0.439398,0.000083,0.002296,0.008345,0.047240,0.000520,0.003244,0.021294,0.056957,0.000000,0.000000,0.000000,0.355750,-0.926122,-2.874385,-0.021456,-0.582347,-0.893385,2.874385,-0.151711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778768207.052366,sequential_ik_elbow_then_wrist,1,0,-0.072003,0.151879,-0.248492,-0.179030,0.289423,-0.492678,-0.077749,-0.150534,-0.247577,-0.259538,-0.306399,-0.428295,0.000265,0.004524,0.014973,0.067138,0.000127,0.005952,0.010106,0.077152,0.000000,0.000000,0.000000,0.355868,-0.941460,-2.938133,-0.026135,-0.570542,-0.914746,2.938133,-0.163300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
