time_sec,source,valid,manual_enabled,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_shoulder_loss,left_elbow_loss,left_elbow_error,left_wrist_error,right_shoulder_loss,right_elbow_loss,right_elbow_error,right_wrist_error,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778608291.240290,sequential_ik_elbow_then_wrist,0,0,-0.298779,-0.010805,-0.024792,-0.395007,-0.185269,0.199490,-0.276100,-0.105518,-0.051328,-0.327356,0.048794,0.200784,0.031369,0.144450,0.134074,0.368611,0.016832,0.106251,0.093187,0.305020,0.000000,0.000000,0.000000,0.277172,-0.017860,0.000000,0.422256,-0.213919,-0.034213,0.000000,0.475883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778608291.272690,sequential_ik_elbow_then_wrist,0,0,-0.299785,-0.004179,-0.010561,-0.403977,-0.179699,0.209295,-0.277485,-0.110463,-0.028282,-0.320119,0.046693,0.223679,0.002001,0.049499,0.030057,0.222335,0.000996,0.036812,0.021270,0.189144,0.000000,0.000000,0.000000,0.567027,-0.024377,0.000000,0.610718,-0.431779,-0.051509,0.000000,0.762829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778608291.308080,sequential_ik_elbow_then_wrist,0,0,-0.297125,0.015328,-0.038494,-0.370567,-0.176987,0.179728,-0.284496,-0.078416,0.053970,-0.322435,0.084611,0.302933,0.000087,0.046137,0.006216,0.214402,0.001229,0.033364,0.023457,0.182308,0.000000,0.000000,0.000000,0.793643,-0.044813,0.000000,0.785113,-0.630420,-0.011580,0.000000,0.953817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778608291.340948,sequential_ik_elbow_then_wrist,0,0,-0.298267,0.025227,-0.020006,-0.375511,-0.162728,0.200689,-0.274783,-0.084048,0.086199,-0.300938,0.079611,0.336262,0.000026,0.041375,0.003402,0.203392,0.000335,0.028827,0.012188,0.169487,0.000000,0.000000,0.000000,0.961285,-0.052426,0.000000,0.923910,-0.784002,0.051430,0.000000,1.074821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778608291.374293,sequential_ik_elbow_then_wrist,0,0,-0.299244,0.020477,0.005834,-0.381172,-0.161498,0.229827,-0.282336,-0.093743,0.038714,-0.323096,0.071820,0.285549,0.000099,0.038946,0.006630,0.197268,0.000162,0.032172,0.008472,0.179364,0.000000,0.000000,0.000000,1.090603,-0.040450,0.000000,1.015853,-0.897039,0.076827,0.000000,1.167399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778608291.409394,sequential_ik_elbow_then_wrist,0,0,-0.298497,0.025326,0.016074,-0.382431,-0.154641,0.240945,-0.273028,-0.091678,0.083969,-0.310291,0.072133,0.332520,0.000036,0.038107,0.003971,0.195150,0.000171,0.029609,0.008707,0.171994,0.000000,0.000000,0.000000,1.186303,-0.020959,0.000000,1.074060,-0.981481,0.119524,0.000000,1.225282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778608291.439813,sequential_ik_elbow_then_wrist,0,0,-0.299268,0.020125,0.005785,-0.379125,-0.152273,0.237953,-0.270611,-0.113180,0.062929,-0.318441,0.052339,0.308522,0.000007,0.035442,0.001771,0.188261,0.000080,0.030839,0.006109,0.175611,0.000000,0.000000,0.000000,1.261681,-0.010121,0.000000,1.118860,-1.032200,0.143965,0.000000,1.270434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778608291.471012,sequential_ik_elbow_then_wrist,0,0,-0.298573,0.011394,-0.026909,-0.355985,-0.159183,0.213107,-0.263136,-0.107777,0.095621,-0.316580,0.052257,0.343679,0.000150,0.034950,0.008141,0.186588,0.000114,0.030197,0.007120,0.173642,0.000000,0.000000,0.000000,1.324930,-0.022982,0.000000,1.180746,-1.068831,0.181608,0.000000,1.288629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778608291.504751,sequential_ik_elbow_then_wrist,0,0,-0.288337,0.006881,-0.082549,-0.309886,-0.161158,0.165037,-0.255950,-0.129015,0.088569,-0.306561,0.033421,0.335658,0.000499,0.034906,0.014883,0.185090,0.000072,0.029064,0.005982,0.170473,0.000000,0.000000,0.000000,1.376927,-0.072526,0.000000,1.288881,-1.082257,0.210047,0.000000,1.306416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778608291.541061,sequential_ik_elbow_then_wrist,0,0,-0.278634,0.000759,-0.111188,-0.315843,-0.157260,0.141092,-0.272309,-0.112949,0.055590,-0.348482,0.036212,0.304485,0.000249,0.029034,0.010514,0.170043,0.000168,0.032664,0.008696,0.180689,0.000000,0.000000,0.000000,1.421099,-0.137985,0.000000,1.397233,-1.102052,0.210629,0.000000,1.310358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
