time_sec,source,valid,manual_enabled,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_shoulder_loss,left_elbow_loss,left_elbow_error,left_wrist_error,right_shoulder_loss,right_elbow_loss,right_elbow_error,right_wrist_error,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778537187.307682,sequential_ik_elbow_then_wrist,0,0,-0.098999,0.089974,-0.268522,-0.311468,0.075511,-0.479822,-0.021776,-0.149480,-0.259194,-0.172074,-0.169861,-0.518028,0.020133,0.077838,0.107181,0.275868,0.012303,0.030451,0.077881,0.166227,0.000000,0.000000,0.000000,0.082017,-0.207536,-0.753600,0.299949,-0.016714,-0.188808,0.753600,0.327436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537187.384804,sequential_ik_elbow_then_wrist,0,0,-0.083199,0.087140,-0.274744,-0.291044,0.082069,-0.491020,-0.025725,-0.125528,-0.271258,-0.185227,-0.117723,-0.525223,0.002467,0.057480,0.041922,0.237805,0.001420,0.030703,0.026436,0.174782,0.000000,0.000000,0.000000,0.171634,-0.423069,-1.326336,0.302773,-0.039382,-0.395955,1.326336,0.394455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537187.427019,sequential_ik_elbow_then_wrist,0,0,-0.079985,0.060830,-0.282670,-0.297675,0.057913,-0.489074,-0.035026,-0.114609,-0.275024,-0.225999,-0.088476,-0.504907,0.001713,0.058079,0.038925,0.239388,0.000435,0.048667,0.018442,0.220332,0.000000,0.000000,0.000000,0.259128,-0.614526,-1.761615,0.238229,-0.067276,-0.574158,1.761615,0.418966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537187.488980,sequential_ik_elbow_then_wrist,0,0,-0.094421,0.035711,-0.282506,-0.328484,0.028667,-0.470028,-0.041960,-0.110872,-0.275584,-0.240708,-0.070346,-0.496620,0.003194,0.068920,0.055499,0.261506,0.000393,0.055414,0.019141,0.235344,0.000000,0.000000,0.000000,0.348325,-0.771970,-2.092428,0.133688,-0.099255,-0.715458,2.092428,0.425007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537187.548814,sequential_ik_elbow_then_wrist,0,0,-0.080655,0.010123,-0.288777,-0.304524,0.010091,-0.488483,-0.046575,-0.104978,-0.277147,-0.248156,-0.078898,-0.497794,0.003191,0.057217,0.055489,0.239201,0.000414,0.055478,0.019801,0.235315,0.000000,0.000000,0.000000,0.433550,-0.910010,-2.343845,0.053603,-0.134161,-0.826776,2.343845,0.405046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537187.612033,sequential_ik_elbow_then_wrist,0,0,-0.045458,0.008548,-0.296413,-0.252197,0.020721,-0.513463,-0.041265,-0.096890,-0.280908,-0.242214,-0.088779,-0.503515,0.000911,0.036187,0.029045,0.190230,0.000207,0.049376,0.013817,0.221896,0.000000,0.000000,0.000000,0.504435,-1.033645,-2.534922,-0.007262,-0.167485,-0.918039,2.534922,0.361689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537187.671591,sequential_ik_elbow_then_wrist,0,0,-0.041602,0.022011,-0.296285,-0.238569,0.033440,-0.522280,-0.019704,-0.088676,-0.285917,-0.205014,-0.076896,-0.521547,0.000252,0.028311,0.015839,0.168257,0.000052,0.035266,0.005732,0.187767,0.000000,0.000000,0.000000,0.561237,-1.127120,-2.680141,-0.053519,-0.190945,-0.997852,2.680141,0.321381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537187.727899,sequential_ik_elbow_then_wrist,1,0,-0.025338,0.021691,-0.298140,-0.200652,0.076063,-0.535434,-0.005765,-0.080157,-0.289036,-0.170845,-0.077629,-0.539520,0.000030,0.015356,0.004705,0.123918,0.000223,0.023812,0.014183,0.154273,0.000000,0.000000,0.000000,0.605047,-1.205019,-2.790507,-0.088675,-0.203546,-1.068338,2.790507,0.282523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537187.793664,sequential_ik_elbow_then_wrist,1,0,-0.030494,0.022598,-0.297589,-0.193607,0.085477,-0.541394,-0.036868,-0.070133,-0.289348,-0.195992,-0.062652,-0.543559,0.000049,0.012547,0.006986,0.112013,0.000298,0.031616,0.017013,0.177799,0.000000,0.000000,0.000000,0.639409,-1.263188,-2.874385,-0.115393,-0.219048,-1.125303,2.874385,0.248580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537187.858392,sequential_ik_elbow_then_wrist,1,0,-0.011516,0.025244,-0.298714,-0.152377,0.108175,-0.550271,-0.025748,-0.073681,-0.289669,-0.182814,-0.097881,-0.544119,0.000088,0.007182,0.008943,0.084746,0.000023,0.023879,0.004780,0.154235,0.000000,0.000000,0.000000,0.664388,-1.313943,-2.938133,-0.135698,-0.232461,-1.169044,2.938133,0.199915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
