time_sec,source,valid,manual_enabled,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,left_ik_loss,right_ik_loss,left_workspace_projected,right_workspace_projected,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778075397.324733,ik_wrist_pelvis_body_frame,0,0,-0.300000,0.123485,0.093230,-0.300000,-0.195705,0.047914,-0.198532,0.171789,-0.165387,-0.188379,-0.127415,-0.181789,0.090708,0.076262,1,1,0.000000,0.000000,0.000000,0.209000,-0.011011,-0.034268,0.281193,-0.197253,-0.030829,0.022192,0.255035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.366513,ik_wrist_pelvis_body_frame,0,0,-0.299704,0.137022,0.156727,-0.300000,-0.207477,0.192171,-0.222970,0.175358,-0.121693,-0.224443,-0.182799,-0.089200,0.036413,0.026417,0,1,0.000000,0.000000,0.000000,0.372020,-0.020795,-0.076428,0.433314,-0.355802,-0.016864,0.038243,0.380167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.395561,ik_wrist_pelvis_body_frame,1,0,-0.247235,0.170403,0.213755,-0.260197,-0.153503,0.297582,-0.212766,0.203599,-0.077763,-0.231359,-0.172240,-0.011837,0.015400,0.010565,0,0,0.000000,0.000000,0.000000,0.478437,-0.025955,-0.095345,0.627411,-0.486525,0.026671,0.052138,0.548394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.425116,ik_wrist_pelvis_body_frame,1,0,-0.215479,0.168574,0.265573,-0.182349,-0.156938,0.347696,-0.199405,0.207645,-0.040768,-0.196922,-0.199530,0.033201,0.004176,0.004219,0,0,0.000000,0.000000,0.000000,0.549158,-0.022008,-0.100001,0.828269,-0.565241,0.079459,0.047506,0.726590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.462271,ik_wrist_pelvis_body_frame,1,0,-0.194797,0.163052,0.308131,-0.182266,-0.141023,0.398015,-0.166575,0.211683,-0.017137,-0.177116,-0.183739,0.063844,0.001560,0.001187,0,0,0.000000,0.000000,0.000000,0.593434,-0.007493,-0.099500,1.006803,-0.624015,0.133942,0.047339,0.876206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.497729,ik_wrist_pelvis_body_frame,1,0,-0.173197,0.176137,0.342376,-0.156623,-0.114331,0.428070,-0.122199,0.228019,0.009082,-0.155892,-0.185418,0.096274,0.002405,0.001605,0,0,0.000000,0.000000,0.000000,0.607272,0.017287,-0.094962,1.146638,-0.664016,0.197287,0.051208,0.995930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.525412,ik_wrist_pelvis_body_frame,1,0,-0.161643,0.172212,0.355010,-0.148696,-0.105938,0.441804,-0.105462,0.234634,0.023841,-0.131977,-0.198534,0.124320,0.002435,0.001806,0,0,0.000000,0.000000,0.000000,0.603872,0.047482,-0.094801,1.253215,-0.684162,0.259856,0.059449,1.083453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.561841,ik_wrist_pelvis_body_frame,1,0,-0.171516,0.159760,0.363132,-0.128585,-0.108351,0.453308,-0.104408,0.237452,0.041892,-0.109781,-0.201975,0.132615,0.002156,0.001993,0,0,0.000000,0.000000,0.000000,0.596304,0.080213,-0.106182,1.331483,-0.684263,0.319750,0.065118,1.145219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.592689,ik_wrist_pelvis_body_frame,1,0,-0.172946,0.146727,0.370918,-0.124790,-0.107076,0.458640,-0.105921,0.235145,0.053017,-0.098907,-0.202269,0.136973,0.001893,0.001852,0,0,0.000000,0.000000,0.000000,0.587227,0.115291,-0.124139,1.389024,-0.672718,0.373113,0.072889,1.186939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.629143,ik_wrist_pelvis_body_frame,1,0,-0.207979,0.132874,0.366727,-0.122225,-0.101154,0.462714,-0.130385,0.225828,0.056271,-0.091691,-0.200796,0.141249,0.001713,0.001736,0,0,0.000000,0.000000,0.000000,0.590290,0.143337,-0.155423,1.427177,-0.655022,0.421150,0.083966,1.215042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.657927,ik_wrist_pelvis_body_frame,1,0,-0.211550,0.121656,0.364930,-0.074661,-0.108923,0.468099,-0.132750,0.221541,0.053731,-0.065904,-0.209294,0.148642,0.001650,0.001869,0,0,0.000000,0.000000,0.000000,0.596598,0.168191,-0.187277,1.455381,-0.620280,0.467940,0.078745,1.235877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.700320,ik_wrist_pelvis_body_frame,1,0,-0.218162,0.115459,0.365829,-0.080588,-0.119571,0.456392,-0.141167,0.216693,0.055344,-0.054491,-0.222604,0.145552,0.001578,0.001483,0,0,0.000000,0.000000,0.000000,0.605659,0.189436,-0.216891,1.475112,-0.578422,0.499802,0.075502,1.251039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.725311,ik_wrist_pelvis_body_frame,1,0,-0.222039,0.111469,0.362356,-0.110367,-0.123800,0.452162,-0.144572,0.215953,0.054133,-0.064401,-0.224130,0.147413,0.001534,0.001131,0,0,0.000000,0.000000,0.000000,0.615452,0.205998,-0.243110,1.489638,-0.543269,0.519320,0.087276,1.260956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.758483,ik_wrist_pelvis_body_frame,1,0,-0.231973,0.117150,0.352914,-0.076274,-0.123312,0.447007,-0.142196,0.220327,0.049052,-0.052656,-0.233458,0.150244,0.001584,0.000820,0,0,0.000000,0.000000,0.000000,0.623025,0.213844,-0.267145,1.499441,-0.501756,0.536938,0.089916,1.274219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075397.797469,ik_wrist_pelvis_body_frame,1,0,-0.233471,0.121478,0.347777,-0.037766,-0.128200,0.442861,-0.137854,0.223770,0.045320,-0.037095,-0.239677,0.146446,0.001642,0.000890,0,0,0.000000,0.000000,0.000000,0.626642,0.216944,-0.287360,1.507582,-0.451116,0.550136,0.076718,1.290995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
