time_sec,source,valid,manual_enabled,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_shoulder_loss,left_elbow_loss,left_elbow_error,left_wrist_error,right_shoulder_loss,right_elbow_loss,right_elbow_error,right_wrist_error,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778777234.759894,sequential_ik_elbow_then_wrist,0,0,-0.033924,0.104078,-0.279315,-0.197262,0.087628,-0.530413,0.001260,-0.119147,-0.275322,-0.149617,-0.127531,-0.534486,0.016996,0.040112,0.093755,0.192189,0.015212,0.028015,0.087439,0.157754,0.000000,0.000000,0.000000,0.027560,-0.215650,-0.753600,0.335246,0.001005,-0.208768,0.753600,0.334243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778777234.790826,sequential_ik_elbow_then_wrist,1,0,-0.014144,0.127767,-0.271064,-0.173546,0.114000,-0.524838,0.023183,-0.122197,-0.273003,-0.100212,-0.176606,-0.540982,0.000562,0.027465,0.015805,0.164872,0.001105,0.014150,0.024920,0.115495,0.000000,0.000000,0.000000,0.048181,-0.421967,-1.326336,0.397696,0.014405,-0.418675,1.326336,0.367921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778777234.834502,sequential_ik_elbow_then_wrist,1,0,0.000488,0.137323,-0.266725,-0.116355,0.178139,-0.540005,0.034050,-0.120743,-0.272510,-0.034886,-0.225268,-0.545131,0.000149,0.011705,0.011642,0.105938,0.000489,0.005053,0.020911,0.065558,0.000000,0.000000,0.000000,0.055987,-0.582814,-1.761615,0.392439,0.037475,-0.589712,1.761615,0.327582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778777234.877892,sequential_ik_elbow_then_wrist,1,0,-0.007705,0.127301,-0.271542,-0.159206,0.148783,-0.529584,0.038493,-0.128661,-0.268262,-0.009928,-0.270353,-0.528222,0.000021,0.023258,0.003332,0.152474,0.000347,0.003315,0.017969,0.055027,0.000000,0.000000,0.000000,0.060693,-0.712387,-2.092428,0.380784,0.066192,-0.715962,2.092428,0.256261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778777234.911344,sequential_ik_elbow_then_wrist,1,0,0.015955,0.125290,-0.272117,-0.126442,0.184947,-0.529342,0.042986,-0.134885,-0.264496,0.008519,-0.289384,-0.519334,0.000401,0.016213,0.019369,0.126866,0.000267,0.002520,0.015580,0.049877,0.000000,0.000000,0.000000,0.052609,-0.814383,-2.343845,0.345888,0.098232,-0.805763,2.343845,0.188390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778777234.957003,sequential_ik_elbow_then_wrist,0,0,-0.000307,0.077775,-0.289743,-0.185496,0.069773,-0.525627,0.012851,-0.157616,-0.254935,-0.034209,-0.331789,-0.494621,0.000315,0.037541,0.011877,0.193543,0.000230,0.007664,0.013537,0.087439,0.000000,0.000000,0.000000,0.045758,-0.923576,-2.534922,0.341162,0.113199,-0.860573,2.534922,0.126644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778777234.987445,sequential_ik_elbow_then_wrist,0,0,-0.021328,0.028558,-0.297875,-0.259439,-0.115996,-0.409264,0.005025,-0.170046,-0.247101,-0.042302,-0.355446,-0.478158,0.000843,0.089603,0.024381,0.296031,0.000264,0.006729,0.014677,0.082015,0.000000,0.000000,0.000000,0.045547,-1.044103,-2.680141,0.444064,0.112797,-0.890386,2.680141,0.076115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778777235.029402,sequential_ik_elbow_then_wrist,0,0,-0.030258,-0.032795,-0.296663,-0.241973,-0.186795,-0.443158,0.038075,-0.177950,-0.238504,0.037665,-0.364707,-0.473283,0.001685,0.069814,0.036267,0.264217,0.000174,0.000354,0.011473,0.018587,0.000000,0.000000,0.000000,0.046167,-1.181814,-2.790507,0.526514,0.122426,-0.901105,2.790507,0.044842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778777235.059416,sequential_ik_elbow_then_wrist,1,0,0.070303,0.056565,-0.286108,-0.085858,-0.029721,-0.527289,0.080959,-0.149992,-0.246876,0.110866,-0.308149,-0.500040,0.005828,0.012720,0.074203,0.109708,0.001444,0.000478,0.035398,0.020543,0.000000,0.000000,0.000000,0.040612,-1.243854,-2.874385,0.526387,0.161778,-0.917783,2.874385,0.039003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778777235.108051,sequential_ik_elbow_then_wrist,1,0,0.044493,0.049586,-0.292509,-0.116093,-0.050727,-0.525209,0.077822,-0.143018,-0.251971,0.106928,-0.292561,-0.510408,0.001970,0.015835,0.044161,0.125797,0.000544,0.000034,0.021848,0.005217,0.000000,0.000000,0.000000,0.028158,-1.284136,-2.938133,0.533836,0.210372,-0.936424,2.938133,0.040987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
