time_sec,source,valid,manual_enabled,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_shoulder_loss,left_elbow_loss,left_elbow_error,left_wrist_error,right_shoulder_loss,right_elbow_loss,right_elbow_error,right_wrist_error,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778879614.801689,sequential_ik_elbow_then_wrist,0,0,-0.266034,0.061713,-0.124166,-0.322859,-0.100421,0.121768,-0.277264,-0.064426,-0.094731,-0.347432,0.032634,0.180325,0.023270,0.146775,0.115467,0.364347,0.022196,0.092659,0.110898,0.282115,0.000000,0.000000,0.000000,0.222827,-0.087101,0.000000,0.484235,-0.229611,-0.065480,0.000000,0.474377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879614.842290,sequential_ik_elbow_then_wrist,0,0,-0.269380,0.062127,-0.116510,-0.326194,-0.098629,0.130330,-0.278262,-0.062411,-0.093140,-0.343872,0.036122,0.182517,0.001959,0.048132,0.032561,0.215345,0.001725,0.023271,0.029469,0.149098,0.000000,0.000000,0.000000,0.463681,-0.161259,0.000000,0.800902,-0.473805,-0.124048,0.000000,0.760309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879614.896541,sequential_ik_elbow_then_wrist,0,0,-0.267814,0.065898,-0.118037,-0.323694,-0.091150,0.131389,-0.279095,-0.068119,-0.086405,-0.345157,0.031880,0.188615,0.000120,0.033128,0.008060,0.181797,0.000081,0.014865,0.006349,0.121828,0.000000,0.000000,0.000000,0.664484,-0.219239,0.000000,1.062777,-0.674424,-0.165387,0.000000,0.989098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.007924,sequential_ik_elbow_then_wrist,1,0,-0.268546,0.068163,-0.115051,-0.323991,-0.086089,0.136210,-0.280776,-0.074177,-0.075250,-0.356781,0.027078,0.196726,0.000006,0.029485,0.001816,0.171708,0.000020,0.014288,0.002942,0.119464,0.000000,0.000000,0.000000,0.820869,-0.261594,0.000000,1.264371,-0.827397,-0.188892,0.000000,1.153323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.037736,sequential_ik_elbow_then_wrist,1,0,-0.267690,0.066807,-0.117809,-0.328656,-0.083240,0.134716,-0.279129,-0.081553,-0.073729,-0.355277,0.019043,0.198451,0.000002,0.028197,0.000955,0.167916,0.000009,0.013941,0.002101,0.118067,0.000000,0.000000,0.000000,0.941467,-0.295237,0.000000,1.414495,-0.939101,-0.203979,0.000000,1.275037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.084664,sequential_ik_elbow_then_wrist,1,0,-0.269256,0.065181,-0.115120,-0.338037,-0.079006,0.138808,-0.278547,-0.087136,-0.069418,-0.351021,0.014014,0.203559,0.000002,0.026627,0.000945,0.163134,0.000010,0.014007,0.002207,0.118350,0.000000,0.000000,0.000000,1.034835,-0.319337,0.000000,1.519661,-1.019439,-0.212071,0.000000,1.368117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.138713,sequential_ik_elbow_then_wrist,1,0,-0.268445,0.066090,-0.116489,-0.342286,-0.073107,0.138799,-0.276048,-0.096294,-0.067267,-0.341270,0.001450,0.208762,0.000000,0.025101,0.000231,0.158416,0.000018,0.012727,0.002888,0.112797,0.000000,0.000000,0.000000,1.105605,-0.338232,0.000000,1.593791,-1.073491,-0.216090,0.000000,1.443648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.197972,sequential_ik_elbow_then_wrist,1,0,-0.267253,0.071346,-0.116129,-0.336202,-0.063016,0.143087,-0.277237,-0.095914,-0.062773,-0.332207,0.000972,0.215780,0.000004,0.022779,0.001540,0.150924,0.000004,0.012270,0.001332,0.110749,0.000000,0.000000,0.000000,1.155977,-0.352486,0.000000,1.652599,-1.113311,-0.215810,0.000000,1.506300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.259047,sequential_ik_elbow_then_wrist,1,0,-0.271384,0.070667,-0.106570,-0.349893,-0.061103,0.151254,-0.279075,-0.095293,-0.055103,-0.352312,-0.001076,0.220142,0.000013,0.023077,0.002366,0.151839,0.000010,0.013245,0.002079,0.114916,0.000000,0.000000,0.000000,1.194359,-0.356942,0.000000,1.686166,-1.144001,-0.210008,0.000000,1.538951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.324062,sequential_ik_elbow_then_wrist,1,0,-0.272839,0.069773,-0.103394,-0.365826,-0.064360,0.148324,-0.279136,-0.093292,-0.058137,-0.360453,-0.003505,0.216319,0.000004,0.025272,0.001362,0.158842,0.000001,0.012929,0.000552,0.113636,0.000000,0.000000,0.000000,1.224322,-0.356776,0.000000,1.696360,-1.168613,-0.206226,0.000000,1.554356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.377539,sequential_ik_elbow_then_wrist,1,0,-0.273127,0.067174,-0.104351,-0.370712,-0.070897,0.143467,-0.279921,-0.088928,-0.061123,-0.364086,-0.001126,0.213115,0.000001,0.027088,0.000796,0.164553,0.000004,0.012687,0.001399,0.112623,0.000000,0.000000,0.000000,1.248922,-0.356468,0.000000,1.696280,-1.190346,-0.205376,0.000000,1.562235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.439478,sequential_ik_elbow_then_wrist,1,0,-0.272780,0.067883,-0.104799,-0.361538,-0.071725,0.145464,-0.280380,-0.088589,-0.059491,-0.365939,-0.000886,0.214348,0.000000,0.026601,0.000094,0.163088,0.000000,0.012495,0.000449,0.111774,0.000000,0.000000,0.000000,1.267630,-0.356486,0.000000,1.700553,-1.207881,-0.204164,0.000000,1.565632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.506724,sequential_ik_elbow_then_wrist,1,0,-0.275504,0.064641,-0.099595,-0.371626,-0.078501,0.145907,-0.282402,-0.083694,-0.056958,-0.373430,0.002469,0.215604,0.000006,0.028554,0.001609,0.168953,0.000005,0.012535,0.001508,0.111923,0.000000,0.000000,0.000000,1.284217,-0.353144,0.000000,1.696504,-1.224720,-0.201521,0.000000,1.561508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.581192,sequential_ik_elbow_then_wrist,1,0,-0.275693,0.063347,-0.099903,-0.370011,-0.082132,0.144924,-0.281916,-0.083045,-0.060222,-0.371923,0.003929,0.212422,0.000001,0.029083,0.000653,0.170537,0.000001,0.012414,0.000759,0.111418,0.000000,0.000000,0.000000,1.298267,-0.350036,0.000000,1.691836,-1.238662,-0.201171,0.000000,1.558405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.624185,sequential_ik_elbow_then_wrist,1,0,-0.271481,0.064494,-0.110174,-0.364078,-0.085991,0.132271,-0.277246,-0.088899,-0.072332,-0.358596,0.001219,0.202005,0.000014,0.030902,0.002493,0.175770,0.000025,0.012469,0.003382,0.111528,0.000000,0.000000,0.000000,1.308037,-0.354311,0.000000,1.694754,-1.245221,-0.208948,0.000000,1.569391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.703123,sequential_ik_elbow_then_wrist,0,0,-0.274244,0.062657,-0.104233,-0.366418,-0.093332,0.134872,-0.277020,-0.091403,-0.070038,-0.358585,0.002176,0.203074,0.000002,0.032914,0.001048,0.181422,0.000002,0.013353,0.001009,0.115537,0.000000,0.000000,0.000000,1.316723,-0.355153,0.000000,1.696790,-1.247692,-0.215240,0.000000,1.582423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.780464,sequential_ik_elbow_then_wrist,1,0,-0.274699,0.062837,-0.102917,-0.365838,-0.091300,0.137780,-0.275945,-0.091705,-0.073787,-0.358426,0.004353,0.198187,0.000001,0.031928,0.000540,0.178684,0.000002,0.014233,0.001000,0.119294,0.000000,0.000000,0.000000,1.323620,-0.354377,0.000000,1.697815,-1.248565,-0.222492,0.000000,1.595493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778879615.811653,sequential_ik_elbow_then_wrist,0,0,-0.275582,0.064041,-0.099767,-0.367960,-0.091375,0.139633,-0.273126,-0.090556,-0.084863,-0.355832,0.006424,0.186715,0.000002,0.032456,0.000915,0.180152,0.000018,0.014675,0.002838,0.121109,0.000000,0.000000,0.000000,1.328335,-0.351398,0.000000,1.696150,-1.249107,-0.235654,0.000000,1.612125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
