time_sec,source,valid,manual_enabled,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_shoulder_loss,left_elbow_loss,left_elbow_error,left_wrist_error,right_shoulder_loss,right_elbow_loss,right_elbow_error,right_wrist_error,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778075642.256433,sequential_ik_elbow_then_wrist,0,0,-0.155412,0.206133,-0.152828,-0.234746,0.212388,0.136425,-0.211283,-0.201229,-0.069759,-0.344004,-0.202623,0.199283,0.007671,0.054572,0.062313,0.204733,0.007783,0.049369,0.061316,0.202799,0.000000,0.000000,0.000000,0.108387,-0.100365,0.000000,0.470001,-0.145516,-0.044691,0.000000,0.417883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075642.290986,sequential_ik_elbow_then_wrist,1,0,-0.180960,0.205240,-0.123003,-0.250629,0.201564,0.168772,-0.215429,-0.207089,-0.026548,-0.312397,-0.196048,0.257133,0.000833,0.009450,0.021496,0.087985,0.000527,0.009932,0.015455,0.095413,0.000000,0.000000,0.000000,0.236939,-0.178053,0.000000,0.774421,-0.292678,-0.060700,0.000000,0.652560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075642.324088,sequential_ik_elbow_then_wrist,1,0,-0.203575,0.201343,-0.089545,-0.283917,0.195552,0.199439,-0.207496,-0.216604,0.005336,-0.258359,-0.199593,0.300503,0.000398,0.005452,0.013999,0.073832,0.000178,0.002545,0.008884,0.049688,0.000000,0.000000,0.000000,0.360528,-0.214869,0.000000,1.003356,-0.405489,-0.048964,0.000000,0.851897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075642.355421,sequential_ik_elbow_then_wrist,1,0,-0.202951,0.210870,-0.065915,-0.265503,0.207038,0.227467,-0.207568,-0.212816,0.040307,-0.210841,-0.190815,0.339481,0.000131,0.002433,0.007624,0.049169,0.000230,0.000441,0.010098,0.020818,0.000000,0.000000,0.000000,0.457047,-0.222508,0.000000,1.167950,-0.493103,-0.012928,0.000000,1.009796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075642.389135,sequential_ik_elbow_then_wrist,1,0,-0.201174,0.216724,-0.050594,-0.266919,0.198321,0.241534,-0.166647,-0.241204,0.063633,-0.124338,-0.203549,0.358237,0.000066,0.003566,0.005403,0.059635,0.000431,0.000618,0.013998,0.024407,0.000000,0.000000,0.000000,0.527759,-0.214020,0.000000,1.285651,-0.529439,0.035360,0.000000,1.141099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075642.420236,sequential_ik_elbow_then_wrist,1,0,-0.196361,0.222412,-0.044445,-0.267256,0.192743,0.245544,-0.136587,-0.255882,0.076604,-0.133312,-0.214879,0.373770,0.000024,0.005030,0.003310,0.070908,0.000309,0.000172,0.012051,0.010435,0.000000,0.000000,0.000000,0.576296,-0.200456,0.000000,1.371924,-0.529219,0.085098,0.000000,1.221797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075642.459389,sequential_ik_elbow_then_wrist,1,0,-0.188439,0.229059,-0.044974,-0.268042,0.187272,0.241238,-0.132985,-0.260158,0.068063,-0.172257,-0.215458,0.362103,0.000019,0.007374,0.002952,0.085868,0.000036,0.002747,0.004134,0.052156,0.000000,0.000000,0.000000,0.605559,-0.188853,0.000000,1.439473,-0.518921,0.120371,0.000000,1.270720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075642.490076,sequential_ik_elbow_then_wrist,1,0,-0.194940,0.226303,-0.028025,-0.271332,0.165712,0.255688,-0.118770,-0.262839,0.082521,-0.165289,-0.210171,0.374175,0.000038,0.009820,0.004118,0.099092,0.000065,0.003625,0.005509,0.060178,0.000000,0.000000,0.000000,0.630167,-0.169197,0.000000,1.492689,-0.499978,0.155819,0.000000,1.303132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075642.527444,sequential_ik_elbow_then_wrist,1,0,-0.191971,0.230483,-0.004964,-0.263041,0.155413,0.276663,-0.118936,-0.255428,0.103010,-0.191201,-0.192704,0.387339,0.000089,0.010498,0.006279,0.102455,0.000073,0.008542,0.005669,0.092267,0.000000,0.000000,0.000000,0.646352,-0.137529,0.000000,1.530843,-0.484838,0.198014,0.000000,1.314937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778075642.560177,sequential_ik_elbow_then_wrist,1,0,-0.188714,0.233051,0.008620,-0.261911,0.149138,0.287189,-0.108675,-0.257821,0.108250,-0.172952,-0.190503,0.393446,0.000049,0.012068,0.004677,0.109833,0.000031,0.006970,0.003862,0.083481,0.000000,0.000000,0.000000,0.655518,-0.101249,0.000000,1.554723,-0.466689,0.237038,0.000000,1.321375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
