time_sec,source,valid,manual_enabled,left_target_elbow_x,left_target_elbow_y,left_target_elbow_z,left_target_wrist_x,left_target_wrist_y,left_target_wrist_z,right_target_elbow_x,right_target_elbow_y,right_target_elbow_z,right_target_wrist_x,right_target_wrist_y,right_target_wrist_z,left_shoulder_loss,left_elbow_loss,left_elbow_error,left_wrist_error,right_shoulder_loss,right_elbow_loss,right_elbow_error,right_wrist_error,torso_joint,neck_joint,head_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
1778537940.978995,sequential_ik_elbow_then_wrist,0,0,-0.115969,0.076840,-0.265795,-0.367691,0.108247,-0.425950,-0.032229,-0.169016,-0.245753,-0.214777,-0.254689,-0.467872,0.022439,0.096714,0.115344,0.310539,0.010536,0.038296,0.071715,0.192726,0.000000,0.000000,0.000000,0.097802,-0.207483,-0.753600,0.240106,-0.024103,-0.174586,0.753600,0.281480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.045954,sequential_ik_elbow_then_wrist,0,0,-0.101115,0.076127,-0.271993,-0.345780,0.115877,-0.440988,-0.044377,-0.155829,-0.252483,-0.231057,-0.232631,-0.474411,0.003259,0.063996,0.050068,0.249924,0.001140,0.038504,0.025185,0.195159,0.000000,0.000000,0.000000,0.207072,-0.420956,-1.326336,0.176585,-0.060000,-0.358303,1.326336,0.294388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.096823,sequential_ik_elbow_then_wrist,0,0,-0.084111,0.071453,-0.278962,-0.305755,0.107406,-0.477913,-0.037035,-0.140996,-0.262200,-0.200480,-0.238264,-0.494201,0.000906,0.038120,0.028174,0.194550,0.000237,0.024160,0.011724,0.154148,0.000000,0.000000,0.000000,0.305461,-0.603430,-1.761615,0.088867,-0.093897,-0.520899,1.761615,0.256279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.165375,sequential_ik_elbow_then_wrist,0,0,-0.072444,0.052041,-0.286433,-0.298155,0.101073,-0.477876,-0.036961,-0.125611,-0.269918,-0.202569,-0.235096,-0.494834,0.000752,0.035210,0.025904,0.187641,0.000146,0.022721,0.009911,0.149925,0.000000,0.000000,0.000000,0.391342,-0.760645,-2.092428,0.019539,-0.125216,-0.660070,2.092428,0.189891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.218260,sequential_ik_elbow_then_wrist,1,0,-0.067872,0.037037,-0.289865,-0.285706,0.089055,-0.489471,-0.037495,-0.112124,-0.275722,-0.208911,-0.204961,-0.503752,0.000835,0.032333,0.028103,0.179813,0.000132,0.024710,0.010036,0.157118,0.000000,0.000000,0.000000,0.466513,-0.892966,-2.343845,-0.033150,-0.154375,-0.778088,2.343845,0.127597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.274029,sequential_ik_elbow_then_wrist,1,0,-0.037878,0.041915,-0.294633,-0.231161,0.106289,-0.514854,-0.016185,-0.104686,-0.280676,-0.180762,-0.199375,-0.512943,0.000054,0.017061,0.005030,0.130617,0.000105,0.018334,0.008980,0.135351,0.000000,0.000000,0.000000,0.524100,-1.006382,-2.534922,-0.073194,-0.172344,-0.878737,2.534922,0.071366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.339777,sequential_ik_elbow_then_wrist,1,0,-0.014530,0.055776,-0.294411,-0.202728,0.110095,-0.521635,-0.003581,-0.108952,-0.279494,-0.156008,-0.220428,-0.512601,0.000587,0.012614,0.023993,0.112312,0.000317,0.013185,0.017421,0.114737,0.000000,0.000000,0.000000,0.562107,-1.098051,-2.680141,-0.103628,-0.177367,-0.956430,2.680141,0.017851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.405296,sequential_ik_elbow_then_wrist,1,0,-0.037032,0.035980,-0.295523,-0.173461,0.092673,-0.556623,-0.022419,-0.113192,-0.276921,-0.174975,-0.212080,-0.515558,0.000035,0.006394,0.005813,0.079960,0.000008,0.018052,0.001829,0.134311,0.000000,0.000000,0.000000,0.592285,-1.169679,-2.790507,-0.126757,-0.181292,-1.010577,2.790507,-0.014386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.464400,sequential_ik_elbow_then_wrist,1,0,-0.049182,0.038800,-0.293387,-0.167828,0.098755,-0.562326,-0.033267,-0.102111,-0.280119,-0.193451,-0.197011,-0.515354,0.000171,0.004322,0.012787,0.065744,0.000124,0.022637,0.010730,0.150456,0.000000,0.000000,0.000000,0.618268,-1.218249,-2.874385,-0.144335,-0.189629,-1.056270,2.874385,-0.039254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.538241,sequential_ik_elbow_then_wrist,1,0,-0.043478,0.037873,-0.294407,-0.134893,0.114200,-0.569757,-0.038137,-0.105252,-0.278330,-0.198901,-0.195613,-0.514952,0.000071,0.000797,0.008349,0.028234,0.000149,0.022488,0.011936,0.149958,0.000000,0.000000,0.000000,0.640080,-1.256532,-2.938133,-0.157695,-0.201975,-1.089092,2.938133,-0.057474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.604622,sequential_ik_elbow_then_wrist,1,0,-0.029936,0.037203,-0.296175,-0.131301,0.137295,-0.560195,-0.021713,-0.109061,-0.278629,-0.169251,-0.194619,-0.525433,0.000014,0.001376,0.002701,0.037093,0.000017,0.015115,0.004009,0.122883,0.000000,0.000000,0.000000,0.656335,-1.291782,-2.986581,-0.167848,-0.209314,-1.113721,2.986581,-0.062195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.640426,sequential_ik_elbow_then_wrist,1,0,-0.017871,0.046285,-0.295869,-0.146130,0.156544,-0.543644,0.023636,-0.114921,-0.276106,-0.092368,-0.201264,-0.538952,0.000255,0.004928,0.015897,0.070199,0.001704,0.004304,0.040395,0.065332,0.000000,0.000000,0.000000,0.665438,-1.320436,-3.023402,-0.175565,-0.194532,-1.133012,3.023402,-0.051445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.724125,sequential_ik_elbow_then_wrist,1,0,-0.016585,0.054055,-0.294624,-0.139583,0.174969,-0.540085,0.020217,-0.119959,-0.274228,-0.104877,-0.202289,-0.534177,0.000443,0.005223,0.020924,0.072273,0.000953,0.008453,0.030091,0.091808,0.000000,0.000000,0.000000,0.667926,-1.339175,-3.051385,-0.181429,-0.167470,-1.142650,3.051385,-0.031507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.770823,sequential_ik_elbow_then_wrist,1,0,-0.004560,0.056621,-0.294573,-0.122239,0.188346,-0.537060,0.021552,-0.129063,-0.269960,-0.103255,-0.212860,-0.529577,0.000947,0.006550,0.030639,0.080932,0.000660,0.010486,0.024765,0.102280,0.000000,0.000000,0.000000,0.663411,-1.355658,-3.072653,-0.185886,-0.132739,-1.141625,3.072653,-0.004423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.828864,sequential_ik_elbow_then_wrist,1,0,-0.001444,0.068525,-0.292066,-0.128581,0.205916,-0.526501,0.024788,-0.132357,-0.268081,-0.100630,-0.223908,-0.524769,0.001494,0.007964,0.038423,0.089244,0.000467,0.012434,0.020842,0.111477,0.000000,0.000000,0.000000,0.651425,-1.363071,-3.088816,-0.189273,-0.093509,-1.135835,3.088816,0.022527,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.888769,sequential_ik_elbow_then_wrist,1,0,-0.005036,0.077806,-0.289691,-0.130928,0.222896,-0.520125,0.026420,-0.133918,-0.267148,-0.101555,-0.228128,-0.521602,0.001483,0.007366,0.038128,0.085826,0.000290,0.015046,0.016417,0.122637,0.000000,0.000000,0.000000,0.632336,-1.360417,-3.101100,-0.191848,-0.053155,-1.128588,3.101100,0.048900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1778537941.942410,sequential_ik_elbow_then_wrist,1,0,-0.006015,0.086174,-0.287294,-0.123681,0.236638,-0.518628,0.020799,-0.132943,-0.268130,-0.116826,-0.217187,-0.521038,0.001486,0.005592,0.038093,0.074779,0.000068,0.020227,0.007944,0.142153,0.000000,0.000000,0.000000,0.606135,-1.350461,-3.110436,-0.193804,-0.017328,-1.123249,3.110436,0.079605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
